satCatlog,state,datetime,elev,azmth,distance
MS11,rising,2022 Jul 25 13:13:49,16.000049426292822,279.47239285770286,23372.712574592795
MS11,culminate,2022 Jul 25 16:05:54,82.55630649004773,52.73442778490782,19531.30149090707
MS11,setting,2022 Jul 25 18:28:12,15.998091186662764,159.13619258021106,23357.30619648028
MS11,rising,2022 Jul 26 11:42:39,16.000918083439156,258.65873662879943,23367.558620267566
MS11,culminate,2022 Jul 26 14:43:21,73.61590175718227,31.665055665554373,19688.891401475266
MS11,setting,2022 Jul 26 17:16:31,15.999415764333998,142.37094707976777,23359.238500071337
MS12,rising,2022 Jul 25 10:20:10,16.00017185580482,236.85607457662516,23362.66132111272
MS12,culminate,2022 Jul 25 13:11:00,69.78669987846818,359.7159407239644,19792.484063724976
MS12,setting,2022 Jul 25 16:02:08,15.997790031905696,122.81171652880764,23363.018411460318
MS12,rising,2022 Jul 26 09:01:03,16.00033386931415,218.15524773886662,23359.180239430883
MS12,culminate,2022 Jul 26 11:34:38,73.41211915992649,329.1039691970452,19693.842068055746
MS12,setting,2022 Jul 26 14:35:22,15.999950570150116,101.98280368111209,23367.550068195917
MS13,rising,2022 Jul 25 07:54:20,16.000521186302343,200.59338562872566,23356.993811141983
MS13,culminate,2022 Jul 25 10:16:30,82.73413600061242,306.9822124931106,19529.33689507364
MS13,setting,2022 Jul 25 13:08:20,15.99805870422674,80.20243533913231,23373.033559142696
MS13,rising,2022 Jul 26 06:49:08,16.000843054054087,184.81959236867786,23356.06991671868
MS13,culminate,2022 Jul 26 09:04:07,85.69481032270926,112.15855585079854,19503.069566741262
MS13,setting,2022 Jul 26 11:39:33,15.999247079153053,63.119762674791524,23376.78632488657
MS14,rising,2022 Jul 25 05:55:49,16.00020185139214,168.35895383796617,23356.39335693622
MS14,culminate,2022 Jul 25 08:03:13,72.40971882491083,99.90099798996744,19715.43484717983
MS14,setting,2022 Jul 25 10:20:50,15.999759254375292,50.4157706396856,23379.26307357222
MS14,rising,2022 Jul 25 21:00:32,16.0007761806046,326.35147538422535,23381.78113956029
MS14,culminate,2022 Jul 25 21:56:29,24.358644924264265,300.99524125446703,22580.961771561946
MS14,setting,2022 Jul 25 22:53:54,15.999509093259066,272.914722300638,23371.22655106806
MS14,rising,2022 Jul 26 05:03:31,16.00080008302169,151.8095753449654,23357.754731806323
MS14,culminate,2022 Jul 26 07:01:20,59.52341906829468,89.64151309504636,20167.663957790814
MS14,setting,2022 Jul 26 09:02:11,15.998496842148022,42.213627768466765,23380.774354215846
MS14,rising,2022 Jul 26 19:42:15,16.000219396424615,326.4115991024537,23381.83035804588
MS14,culminate,2022 Jul 26 21:03:56,34.6471482192843,290.65701282188013,21706.66746991512
MS14,setting,2022 Jul 26 22:27:56,15.999870359188792,248.53481079787687,23365.311476742892
MS15,rising,2022 Jul 25 04:24:51,16.0002231094855,132.76550444078782,23360.7560068624
MS15,culminate,2022 Jul 25 06:08:28,46.50943188328072,79.4523214560627,20866.358176719383
MS15,setting,2022 Jul 25 07:50:55,15.998701341428102,36.606589886036254,23381.597665987094
MS15,rising,2022 Jul 25 18:31:30,16.000350857522076,323.32314577318726,23381.407224863873
MS15,culminate,2022 Jul 25 20:14:16,46.711766069698236,280.38329224351344,20853.70290923055
MS15,setting,2022 Jul 25 21:58:08,15.999154205124857,226.909377062191,23360.847645501013
MS15,rising,2022 Jul 26 03:48:20,16.000362887874704,112.1276828188975,23365.06512774539
MS15,culminate,2022 Jul 26 05:13:00,34.97477144564561,69.64207808378106,21680.944841886743
MS15,setting,2022 Jul 26 06:35:21,15.998693913727084,33.63831579309487,23381.985686074902
MS15,rising,2022 Jul 26 17:15:26,16.000788322014596,317.98473774776966,23380.554769752325
