satCatlog,state,datetime,elev,azmth,distance
MS11,rising,2022 Jul 25 00:57:18,16.00005989316269,262.48384376439986,23367.026254274988
MS11,culminate,2022 Jul 25 05:06:18,54.3886725907496,58.334565271301614,20412.339782692074
MS11,setting,2022 Jul 25 07:25:00,15.999485847279916,143.19357598970174,23361.30283312448
MS11,rising,2022 Jul 25 23:10:47,16.00101428777714,233.9750643052734,23362.997065000054
MS11,culminate,2022 Jul 26 02:18:22,44.851098776976286,348.34620664491723,20971.79406524349
MS11,setting,2022 Jul 26 05:58:01,15.99844190125145,123.63803966685873,23363.60233410965
MS11,rising,2022 Jul 26 21:45:20,16.001301818877725,215.10071798600586,23360.901318270593
MS12,culminate,2022 Jul 25 00:07:38,56.48397503313301,298.9116662441895,20306.84383238694
MS12,setting,2022 Jul 25 04:10:54,15.998892646083043,92.0002794129907,23367.98780021168
MS12,rising,2022 Jul 25 20:35:47,16.00262698663843,199.79384738859517,23359.659260430377
MS12,culminate,2022 Jul 25 22:51:40,71.68684641697168,286.5866014816754,19731.297625592695
MS12,setting,2022 Jul 26 02:04:25,15.998809559890404,57.739436282729386,23372.484848258067
MS12,rising,2022 Jul 26 19:28:43,16.002175130521056,186.71279118110283,23359.21282769809
MS12,culminate,2022 Jul 26 21:44:29,88.1519598880602,278.62271220855047,19487.954063672256
MS13,setting,2022 Jul 25 00:29:15,15.998300279285596,41.22901829626233,23374.174657724325
MS13,rising,2022 Jul 25 18:34:08,16.001084358687958,172.80131235264417,23359.341370637623
MS13,culminate,2022 Jul 25 20:47:05,74.23025060941958,91.95500330509071,19667.273159161414
MS13,setting,2022 Jul 25 23:05:33,15.998392889991381,35.183590949124856,23374.629223334345
MS13,rising,2022 Jul 26 17:42:35,16.001628827850205,157.61273174788585,23359.89911832656
MS13,culminate,2022 Jul 26 19:47:16,57.729231783086696,86.0459681947739,20245.679189269165
MS13,setting,2022 Jul 26 21:46:42,15.999641273088441,33.46142137776006,23374.61443420252
MS14,rising,2022 Jul 25 10:00:31,16.000368110972108,319.9307573286182,23374.061051851117
MS14,culminate,2022 Jul 25 11:11:09,28.345897485087818,286.3612711910986,22220.62742130152
MS14,setting,2022 Jul 25 12:28:31,15.999725993238886,245.79430753824573,23364.737409427304
MS14,rising,2022 Jul 25 17:09:52,16.00049605746444,137.4611833846585,23361.727470663132
MS14,culminate,2022 Jul 25 18:55:57,41.35530351643937,79.68227509805703,21203.30992570304
MS14,setting,2022 Jul 25 20:32:47,15.998490486504242,35.035385999327545,23374.622364763192
MS14,rising,2022 Jul 26 08:37:33,16.0006585580048,325.2859250724446,23374.43314197592
MS14,culminate,2022 Jul 26 10:16:53,42.93174438239348,279.6596524736677,21095.045370026495
MS14,setting,2022 Jul 26 12:05:25,15.999928152929064,220.256870146796,23361.586265880953
MS14,rising,2022 Jul 26 16:49:07,16.000063283020843,110.94391670779267,23365.091596176666
MS14,culminate,2022 Jul 26 18:02:01,26.901267599826003,72.88195707386659,22346.477330271166
MS14,setting,2022 Jul 26 19:08:47,15.99991990873346,41.043910700649114,23373.990846473756
MS15,rising,2022 Jul 25 07:23:48,16.000360209899817,326.51010307588183,23374.556392988212
MS15,culminate,2022 Jul 25 09:25:15,59.416356108700114,273.3425335536477,20168.544688842594
MS15,setting,2022 Jul 25 11:31:10,15.999075423389082,200.66077258280023,23360.106303211203
MS15,rising,2022 Jul 26 06:04:42,16.0015986368256,324.4315995054639,23374.268813293485
MS15,culminate,2022 Jul 26 08:25:10,75.9779289614042,267.41408840759334,19629.23556566587
MS15,setting,2022 Jul 26 10:38:36,15.999706914337013,185.75459536610578,23359.4847740698
MS16,rising,2022 Jul 25 04:44:15,16.000274850152135,317.2654222510936,23373.82527536179
MS16,culminate,2022 Jul 25 07:27:23,86.40648490670564,80.62560148350138,19495.001644439242
MS16,setting,2022 Jul 25 09:43:15,15.997526312231651,171.94259883712118,23359.757080194133
MS16,rising,2022 Jul 26 03:02:13,16.00102906548073,299.5581977746728,23371.91701788664
MS16,culminate,2022 Jul 26 06:19:37,70.02599384900977,72.42099343359634,19777.88746792544
MS16,setting,2022 Jul 26 08:35:30,15.998921741242338,158.79208426299928,23360.14408089903
MS21,culminate,2022 Jul 25 01:01:31,42.024253926932715,79.65609475333973,21156.99776954928
MS21,setting,2022 Jul 25 02:39:09,15.99954974812655,34.59465277296142,23374.57499763514
MS21,rising,2022 Jul 25 14:43:33,16.000539400131167,325.51340720775596,23374.48749154148
MS21,culminate,2022 Jul 25 16:22:02,42.556661556708555,280.12158848707423,21120.564431252897
MS21,setting,2022 Jul 25 18:09:36,15.999460546135868,221.1885743245531,23361.75427855892
MS21,rising,2022 Jul 25 22:52:58,16.000183534864675,111.98434222335788,23364.960269922012
MS21,culminate,2022 Jul 26 00:07:33,27.531520725467683,72.8845190032213,22291.30884469754
MS21,setting,2022 Jul 26 01:15:51,15.999174607484482,40.292572077566426,23374.15432668544
MS21,rising,2022 Jul 26 13:25:14,16.001594177926897,326.85314091750587,23374.463433344612
MS21,culminate,2022 Jul 26 15:24:59,58.25098115729288,274.06409948279753,20221.45574218746
MS21,setting,2022 Jul 26 17:29:39,15.999924262674803,202.21653961701065,23360.11887362193
MS22,rising,2022 Jul 25 12:11:09,16.001265763178434,324.90251352849566,23374.362804299883
MS22,culminate,2022 Jul 25 14:30:44,75.55074078385866,267.87757315107365,19638.165405058422
MS22,setting,2022 Jul 25 16:43:41,15.998919445195888,186.44013550351005,23359.600588362107
MS22,rising,2022 Jul 26 10:47:05,16.000362455449597,318.49624546499916,23373.92918394358
MS22,culminate,2022 Jul 26 13:27:53,87.60318541395944,81.48786450840932,19489.73412771843
MS22,setting,2022 Jul 26 15:43:19,15.999766084415764,173.18557968568598,23359.513755035478
MS23,rising,2022 Jul 25 09:10:19,16.000365512999334,300.9289227034623,23372.167363813493
MS23,culminate,2022 Jul 25 12:25:50,70.39674235221214,73.08031207811449,19767.156624594143
MS23,setting,2022 Jul 25 14:41:17,15.999393871644736,159.442027687959,23360.08553732918
MS23,rising,2022 Jul 26 07:02:32,16.000587240609526,265.52449445346906,23367.41778260597
MS23,culminate,2022 Jul 26 11:09:07,55.29243553584118,60.311293937526045,20366.04512399952
MS23,setting,2022 Jul 26 13:26:34,15.999383014710437,144.68828165971655,23361.17898057139
