satCatlog,state,datetime,elev,azmth,distance
MS11,rising,2022 Jul 25 03:37:16,16.000282214773907,337.25019437994536,23365.913916665908
MS11,culminate,2022 Jul 25 06:09:38,85.06296250010706,87.33237428150002,19502.192307352994
MS11,setting,2022 Jul 25 08:27:36,15.998709002480679,167.11515986420017,23368.152142970885
MS11,rising,2022 Jul 26 02:14:36,16.000550340182453,334.53133111077847,23365.91688299284
MS11,culminate,2022 Jul 26 05:07:10,66.81006636060188,84.86785269839282,19877.42310959953
MS11,setting,2022 Jul 26 07:17:08,15.998968805968135,157.96939495168866,23368.123547963405
MS11,rising,2022 Jul 26 23:04:20,16.000134974510555,276.01217017389246,23367.346369181978
MS12,culminate,2022 Jul 25 04:07:43,48.5027894228332,81.3611182247053,20737.722894591658
MS12,setting,2022 Jul 25 06:05:40,15.999857999161977,146.4095652883051,23368.04994339681
MS12,rising,2022 Jul 25 20:43:27,16.00107291570428,229.43711626334422,23367.85225814324
MS12,culminate,2022 Jul 25 22:25:02,32.518678764360295,284.52052833891946,21868.2735146479
MS12,culminate,2022 Jul 26 02:57:02,32.20970532543632,75.29732360743733,21893.44954830722
MS12,setting,2022 Jul 26 04:38:14,15.999337227763492,130.1432840750728,23368.064091786964
MS12,rising,2022 Jul 26 19:16:20,16.001416411047792,213.3384006964609,23367.843585512503
MS12,culminate,2022 Jul 26 21:14:34,48.83934236589612,278.55933564386044,20717.557855807016
MS13,setting,2022 Jul 25 02:12:31,15.999969704551438,81.11119004935858,23367.36940759438
MS13,rising,2022 Jul 25 18:05:02,16.00151937854346,201.8374944938475,23367.84606830729
MS13,culminate,2022 Jul 25 20:15:11,67.16644749757468,275.0765661785028,19865.40417023764
MS13,setting,2022 Jul 25 23:07:11,15.999540761851337,25.32587020683665,23366.026449116565
MS13,rising,2022 Jul 26 16:54:39,16.001928738671786,192.7104998376813,23367.7928481796
MS13,culminate,2022 Jul 26 19:12:44,85.42909895675623,272.6256526230872,19499.57878666329
MS13,setting,2022 Jul 26 21:44:47,15.999873000023161,22.755784289480278,23365.93629653741
MS14,rising,2022 Jul 25 15:54:23,16.001409420348573,183.38004374912921,23367.853010021598
MS14,culminate,2022 Jul 25 18:17:11,75.27833130443865,90.39187236060845,19642.85908723202
MS14,setting,2022 Jul 25 20:33:25,15.999865034025985,24.638691201324225,23365.974306375083
MS14,rising,2022 Jul 26 14:55:41,16.001507166253653,172.7846869316793,23367.834118445357
MS14,culminate,2022 Jul 26 17:17:16,57.28465541066032,88.26706118884273,20265.36392402987
MS14,setting,2022 Jul 26 19:17:23,15.999891757420023,28.909423203198443,23366.034758675793
MS15,rising,2022 Jul 25 08:51:58,16.0003821071745,309.13839519409606,23366.539884174425
MS15,culminate,2022 Jul 25 09:54:39,23.756902539236766,277.27972763025315,22625.697098557208
MS15,setting,2022 Jul 25 11:11:35,15.999806400768911,236.551662491958,23367.993213432273
MS15,rising,2022 Jul 25 14:18:48,16.000028000754266,155.36770459480203,23367.996515931216
MS15,culminate,2022 Jul 25 16:24:22,39.39965330043564,85.75044219671791,21340.19332710947
MS15,setting,2022 Jul 25 18:02:20,15.999161560980854,36.585741675702415,23366.27372406849
MS15,rising,2022 Jul 26 07:19:37,16.001180266667323,323.60399936681523,23366.087851098706
MS15,culminate,2022 Jul 26 08:58:06,39.727581976729155,274.19602891726913,21316.59752178122
MS15,setting,2022 Jul 26 11:04:13,15.99975385816441,204.18610092494063,23368.04528281551
MS15,rising,2022 Jul 26 14:12:29,16.000165850962805,122.52214071284497,23367.89293197869
MS15,culminate,2022 Jul 26 15:27:51,23.451777699495096,82.6485469299699,22653.60285356111
MS15,setting,2022 Jul 26 16:29:27,15.999584926213464,51.32620867429959,23366.580488975927
MS16,rising,2022 Jul 25 06:04:41,16.000456352269392,331.2002752350347,23366.008262935437
MS16,culminate,2022 Jul 25 08:05:09,57.634289574461974,271.69032927657776,20248.884118333033
MS16,setting,2022 Jul 25 10:26:52,15.999441349197033,186.96766491844377,23368.074923013053
MS16,rising,2022 Jul 26 04:48:42,16.002284559725005,335.4231687658416,23365.737495655718
