satCatlog,state,datetime,elev,azmth,distance
MS11,rising,2022 Jul 25 12:10:55,16.000521743737718,218.37746956118053,23360.298138628805
MS11,culminate,2022 Jul 25 14:41:14,82.44120876031131,335.1906953174192,19535.093552942046
MS11,setting,2022 Jul 25 17:25:34,15.99949169298482,104.69805087436292,23368.031280115927
MS11,rising,2022 Jul 26 11:00:48,16.000627431814117,201.5100941126806,23358.16074255779
MS11,culminate,2022 Jul 26 13:22:12,89.01247476211518,314.7716456462134,19492.772053204913
MS11,setting,2022 Jul 26 16:01:59,15.999485011383609,86.32424416130404,23372.499611682793
MS12,rising,2022 Jul 25 10:01:35,16.001005250885076,184.54620084574026,23357.16894275281
MS12,culminate,2022 Jul 25 12:15:06,81.37322041162709,117.89991772316816,19545.535868748444
MS12,setting,2022 Jul 25 14:43:28,15.999461656135486,69.44828362827519,23376.511564139946
MS12,rising,2022 Jul 26 00:43:02,16.00041688206354,333.1884670772219,23383.836187923967
MS12,culminate,2022 Jul 26 01:25:48,20.94484061337227,313.8556750757402,22901.09667456891
MS12,setting,2022 Jul 26 02:09:06,15.99997263357844,293.3952318038782,23377.093314312846
MS12,rising,2022 Jul 26 09:02:29,16.000786789084263,168.41880951605415,23357.43078031425
MS12,culminate,2022 Jul 26 11:08:22,70.84850052672257,104.56965192005158,19758.979551459153
MS12,setting,2022 Jul 26 13:23:22,15.999826720630669,56.52838972068031,23379.234542060673
MS12,rising,2022 Jul 26 23:27:25,16.000535686539795,331.6874952784448,23383.645901130974
MS13,culminate,2022 Jul 25 00:40:18,28.89521910879535,301.66833315031437,22182.206319041514
MS13,setting,2022 Jul 25 01:49:25,15.99969231883652,268.397858535584,23371.203480916185
MS13,rising,2022 Jul 25 08:14:52,16.000468040220383,151.00424261813,23358.994549656116
MS13,culminate,2022 Jul 25 10:11:08,59.390306862853606,92.24902238601143,20175.242473018392
MS13,setting,2022 Jul 25 12:11:14,15.998832134677698,46.12495289903392,23381.286805552896
MS13,rising,2022 Jul 25 22:19:24,16.001246155651568,327.5895990973626,23383.090080276383
MS13,culminate,2022 Jul 25 23:46:28,37.84082681557561,290.54214812870435,21464.187316702737
MS13,setting,2022 Jul 26 01:14:38,15.999130922188664,247.34120028261344,23366.196506643846
MS13,rising,2022 Jul 26 07:27:16,16.001031587604245,133.34066749527457,23361.6450235507
MS13,culminate,2022 Jul 26 09:11:45,48.66119945105141,81.20984852018938,20736.177824969087
MS13,setting,2022 Jul 26 10:56:45,15.999490578569725,38.5507869723769,23382.426525369316
MS13,rising,2022 Jul 26 21:06:21,16.000089982584402,321.9718192038254,23382.420815042162
MS13,culminate,2022 Jul 26 22:50:06,47.82625373337672,279.66126970536703,20786.66668359047
MS14,setting,2022 Jul 25 00:39:49,15.999812535805525,227.27014129450208,23361.944296718957
MS14,rising,2022 Jul 25 06:52:14,16.000303653931322,113.3260120177923,23365.883349004635
MS14,culminate,2022 Jul 25 08:20:58,38.159127984769476,69.8226274536325,21440.50477195296
MS14,setting,2022 Jul 25 09:48:38,15.999928226287155,32.57047081237775,23383.21907377378
MS14,rising,2022 Jul 25 19:56:53,16.0001180189618,314.1614674681467,23381.179484884982
MS14,culminate,2022 Jul 25 21:56:29,59.0257395063246,268.12807125885223,20191.63160281136
MS14,setting,2022 Jul 25 23:52:25,15.999812111380297,209.56588393998112,23359.176337064528
MS14,rising,2022 Jul 26 06:17:14,16.00030531536935,92.33881447348698,23370.901810926007
MS14,culminate,2022 Jul 26 07:27:03,29.17299807749793,58.71064089464347,22158.376162619323
MS14,setting,2022 Jul 26 08:35:41,15.999222688968768,28.553249197200394,23383.76244861653
MS14,rising,2022 Jul 26 18:40:08,16.00136890359561,304.3726017177808,23379.22643118008
MS14,culminate,2022 Jul 26 20:54:01,69.97807579523086,256.41759736692325,19783.919050852208
MS14,setting,2022 Jul 26 22:59:15,15.999822320636282,192.88611311551097,23357.643178131475
MS15,rising,2022 Jul 25 05:57:12,16.000060810992302,67.47833165013289,23376.860271894562
MS15,culminate,2022 Jul 25 06:41:28,21.17341873498456,46.543714977953364,22879.43114666151
MS15,setting,2022 Jul 25 07:25:12,15.999262829136702,26.792210177603096,23383.95978021096
MS15,rising,2022 Jul 25 17:24:51,16.000085422345215,291.03465865548645,23376.51833690427
MS15,culminate,2022 Jul 25 19:52:48,81.03717205200857,242.5829412114558,19549.86162967546
MS15,setting,2022 Jul 25 22:06:05,15.99962838019333,175.9896545109736,23357.34276240162
MS15,rising,2022 Jul 26 16:01:58,16.001947099561566,275.0750808151062,23372.550020005943
MS15,culminate,2022 Jul 26 18:41:02,89.66891369919881,46.62872711205859,19492.062916216466
MS15,setting,2022 Jul 26 21:01:48,15.99969663473456,159.80507640368148,23358.183130995698
MS16,rising,2022 Jul 25 14:42:47,16.001712640176144,255.9327339334473,23367.912184903533
MS16,culminate,2022 Jul 25 17:27:07,82.60280494570611,25.56068823797029,19533.29934979926
MS16,setting,2022 Jul 25 19:57:06,15.999527717094688,142.20119750263092,23360.35670776627
MS16,rising,2022 Jul 26 13:21:54,16.002408181167386,237.1504980105961,23363.570090319037
