,utc_off,ua_no,ua_name,prev_sat,cur_sat,ho_utc,avail_sats,MS11,MS12,MS13,MS14,MS15,MS16,MS21,MS22,MS23,MS24,MS25,MS26,MS31,MS32,MS33,MS34,MS35,MS36
0,0,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,1,Davao,MS12,MS13,None,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,2,Durban,MS13,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
3,0,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
4,0,4,Halifax,MS15,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
5,0,5,Hamilton,MS16,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
6,0,6,HimachalPradesh,MS21,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,0,7,Jarkhand,MS22,MS21,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
8,0,8,Mindenaa,MS24,MS22,None,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,0,9,Pretoria,MS25,MS16,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
10,0,10,Quito,MS31,MS24,None,5,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
11,1,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
12,1,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13,1,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
14,1,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
15,1,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
16,1,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
